organism       PF01521.22     PF05093.15     PF01458.19     PF02657.17     PF04384.15     PF06155.14     PF16803.7      PF13232.8      PF13233.8      PF01592.18     PF01883.21     PF01491.18     PF01106.19     PF03473.19     PF08712.13     PF05347.17     PF07743.15     PF09918.11     PF11982.10     PF12447.10     PF19295.1      PF00012.22     PF00266.21     PF00005.29     
UP000198767    2/2            0/0            2/2            1/2            0/0            0/1            0/0            0/0            0/0            0/1            2/2            0/0            0/1            0/2            0/1            0/0            0/1            0/0            0/0            0/0            2/2            1/4            4/19           16/144         
UP000002535    1/1            0/0            2/2            1/1            0/0            0/0            0/0            0/0            0/0            0/0            1/1            0/1            0/1            0/0            0/0            0/0            0/0            0/0            0/0            0/0            1/1            2/4            4/12           4/54           
UP000017907    0/0            0/0            2/2            1/1            0/0            0/0            0/1            0/0            0/0            0/0            2/2            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            2/2            1/2            1/10           3/51           
UP000051260    2/2            0/0            2/2            1/1            0/0            0/1            0/0            0/0            0/0            0/1            2/2            0/0            0/1            0/4            0/1            0/0            0/3            0/0            0/0            0/0            2/2            1/5            4/31           14/129         
UP000273154    0/0            0/0            1/2            0/0            0/0            0/0            0/0            0/0            0/0            1/2            0/2            0/0            0/2            0/1            0/0            0/0            0/0            0/0            0/0            0/0            1/1            1/2            4/10           5/75           
UP000282551    1/1            0/0            2/2            0/1            0/0            0/0            0/0            0/0            0/0            1/1            2/2            0/0            0/2            0/2            0/0            0/0            0/0            0/0            0/0            0/0            1/1            1/4            3/15           9/114          
UP000002430    0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/1            1/1            0/1            0/1            1/1            0/0            0/0            0/0            0/2            0/0            0/0            0/0            0/0            1/4            1/2            0/52           
UP000245142    1/1            0/0            2/2            0/1            0/0            0/0            0/0            0/1            0/0            1/1            3/4            0/0            0/0            0/1            0/0            0/0            0/0            0/0            0/0            0/0            1/1            1/2            5/16           7/134          
UP000005055    0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/1            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            1/1            1/3            4/45           
UP000095477    0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            
UP000190868    0/0            0/1            0/0            0/0            0/0            0/0            0/0            0/0            0/0            1/1            2/2            0/0            1/2            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            1/2            2/9            3/43           
UP000029920    0/0            0/0            0/0            0/0            0/0            0/0            0/1            0/0            0/1            1/1            1/2            0/0            1/2            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            1/4            2/12           3/63           
UP000092701    0/0            0/0            0/1            0/0            0/0            0/0            0/0            0/0            0/0            1/1            1/2            0/0            1/2            0/0            0/0            0/0            0/1            0/0            0/0            0/0            0/0            1/4            1/7            2/42           
