organism       PF01521.22     PF05093.15     PF01458.19     PF02657.17     PF04384.15     PF06155.14     PF16803.7      PF13232.8      PF13233.8      PF01592.18     PF01883.21     PF01491.18     PF01106.19     PF03473.19     PF08712.13     PF05347.17     PF07743.15     PF09918.11     PF11982.10     PF12447.10     PF19295.1      PF00012.22     PF00266.21     PF00005.29     
UP000005868    0/0            0/0            0/1            0/0            0/0            0/0            0/0            0/0            0/0            1/1            0/1            0/0            0/1            0/2            0/0            0/0            0/0            0/0            0/0            0/1            0/0            2/5            3/24           4/65           
UP000001570    1/3            0/0            2/2            0/1            0/0            0/0            0/2            0/0            0/1            1/2            2/4            0/0            0/1            0/2            0/1            0/0            0/0            0/0            0/0            0/0            2/2            1/4            5/29           9/116          
UP000008221    1/2            0/0            2/2            0/0            0/0            0/0            0/0            0/0            0/0            1/1            3/4            0/0            0/0            0/1            0/0            0/0            0/1            0/0            0/0            0/0            1/1            1/3            2/12           4/69           
UP000007435    1/1            0/0            2/2            1/1            0/0            0/0            0/0            0/0            0/0            0/0            2/3            0/0            0/2            0/0            0/1            0/0            0/1            0/0            0/0            0/0            2/2            1/4            3/20           2/66           
UP000018100    0/0            0/0            2/2            1/1            0/0            0/0            0/0            0/0            0/0            0/1            2/2            0/0            0/0            0/0            0/0            0/0            0/1            0/0            0/0            0/0            2/2            1/2            1/9            4/69           
UP000017118    0/2            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            1/2            0/0            0/0            0/0            0/1            0/0            0/1            0/1            0/0            0/0            0/0            0/0            4/6            5/28           8/148          
UP000008674    2/3            0/0            2/2            1/1            0/0            0/1            0/0            0/0            0/0            0/0            2/4            0/0            0/1            0/0            0/1            0/0            0/2            0/0            0/0            0/0            2/2            1/6            5/19           7/71           
UP000000822    1/3            0/0            2/2            0/0            0/0            0/0            0/0            0/0            0/0            1/1            2/2            0/0            0/1            0/1            0/2            0/0            0/3            0/0            0/0            0/2            2/2            1/4            3/19           11/132         
UP000006621    0/1            0/0            0/0            0/0            0/0            0/0            0/1            0/0            0/0            1/1            0/1            0/1            0/1            0/1            0/0            0/0            0/1            0/0            0/0            0/0            0/0            2/4            3/12           1/74           
UP000017590    0/1            0/0            1/2            0/0            0/0            0/0            0/1            0/0            0/2            1/2            0/0            0/0            0/0            0/3            0/0            0/0            0/0            0/0            0/0            0/0            0/0            1/5            5/25           10/134         
UP000002030    0/0            0/0            0/1            0/0            0/0            0/0            0/0            0/0            0/0            1/1            0/2            0/0            0/1            0/2            0/0            0/0            0/1            0/0            0/0            0/0            0/0            2/6            2/13           5/59           
UP000027982    2/2            0/0            2/2            0/1            0/0            0/0            0/0            0/0            0/0            1/1            2/3            0/2            0/1            0/3            0/0            0/0            0/0            0/0            0/0            0/0            2/2            1/4            5/20           5/97           
UP000002706    0/1            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            1/1            0/0            0/0            0/0            0/2            0/0            0/0            0/1            0/0            0/2            0/0            0/0            1/5            2/17           4/71           
UP000002318    0/0            0/0            3/5            1/1            0/0            0/0            0/0            0/0            0/0            2/3            1/2            0/1            0/1            0/1            0/0            0/0            0/0            0/0            0/1            0/0            1/1            3/9            6/22           12/169         
UP000009047    0/3            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            2/2            1/3            0/0            1/3            0/1            0/0            0/0            0/0            0/2            0/0            0/0            0/0            2/6            1/9            4/89           
UP000001302    2/2            0/0            2/2            1/1            0/0            0/0            0/0            0/0            0/0            0/1            1/1            0/0            0/1            0/0            0/1            0/0            0/0            0/0            0/0            0/0            1/1            1/2            3/11           4/51           
UP000008289    0/0            0/0            1/1            0/0            0/0            0/0            0/0            0/0            0/0            1/1            1/2            0/0            0/1            0/0            0/0            0/0            0/1            0/0            0/0            0/0            0/0            1/1            1/6            4/46           
UP000007718    1/1            0/1            2/2            0/1            0/0            0/0            0/0            0/0            0/0            0/0            2/2            0/0            0/0            0/2            0/0            0/0            0/4            0/0            0/0            0/0            2/2            1/2            1/9            3/66           
UP000000417    1/2            0/0            2/2            0/0            0/0            0/0            0/2            0/0            0/0            1/1            3/6            0/0            0/1            0/0            0/1            0/0            0/1            0/0            0/0            0/2            2/2            1/4            5/23           7/132          
UP000002432    2/2            0/1            0/0            0/0            1/1            0/1            0/0            0/0            0/0            2/2            1/2            0/1            0/0            0/3            0/0            0/0            1/3            0/0            0/0            0/0            0/0            2/4            4/31           6/79           
